CAMPUS,CURSO,TOTAL_ALUNOS
Cerro largo,DDPP - Doutorado em Desenvolvimento e Políticas Públicas,49
Cerro largo,DRS - Especialização em Desenvolvimento Rural Sustentável e Agricultura Familiar,30
Cerro largo,ECM - Especialização em Ensino de Ciências e Matemática,25
Cerro largo,IPP - Especialização em Interdisciplinaridade e Práticas Pedagógicas na Educação Básica,36
Cerro largo,LEN - Especialização em Linguagem e Ensino,18
Cerro largo,MATS - Mestrado em Ambiente e Tecnologias Sustentáveis,164
Cerro largo,MDPP - Mestrado em Desenvolvimento e Políticas Públicas,190
Cerro largo,MEC - Mestrado em Ensino de Ciências,122
Cerro largo,OED - Especialização em Orientação Educacional,62
Cerro largo,OEDU - Especialização em Orientação Educacional,29
Cerro largo,PNPD/PPGATS - Pós Doutorado em Ambiente e Tecnologias Sustentáveis,6
Cerro largo,PNPD/PPGDPP - Pós Doutorado em Desenvolvimento e Políticas Públicas,7
Cerro largo,PNPD/PPGEC - Pós Doutorado em Ensino de Ciências,5
Chapecó,APRA - Aperfeiçoamento em Residência Agrícola,5
Chapecó,DEL - Doutorado em Estudos Linguísticos,54
Chapecó,DH - Doutorado em História,34
Chapecó,EDC - Especialização em Educação do Campo com Ênfase em Estudos da Realidade Brasileira,47
Chapecó,EEO - Especialização em Enfermagem em Oncologia,40
Chapecó,EIN - Especialização em Educação Integral,50
Chapecó,EPV - Especialização em Produção Vegetal,12
Chapecó,EPV - Especialização em produção vegetal,16
Chapecó,ESC - Especialização em Saúde Coletiva,40
Chapecó,"ESSPSTP - Especialização Serviço Social, Políticas Sociais e Trabalho Profissional",40
Chapecó,GEEB - Especialização em Gestão Escolar da Educação Básica,27
Chapecó,HRE - Especialização em História Regional,35
Chapecó,JCBAL - Especialização em Juventude Contemporânea: Brasil e América Latina,56
Chapecó,LCS - Especialização em Literaturas do Cone Sul,29
Chapecó,MCB - Mestrado em Ciências Biomédicas,97
Chapecó,ME - Mestrado em Educação,289
Chapecó,MEL - Mestrado em Estudos Linguísticos,227
Chapecó,MENF - Mestrado em Enfermagem,63
Chapecó,MFIL - Mestrado em Filosofia,86
Chapecó,MGEO - Mestrado em Geografia,100
Chapecó,MH - Mestrado em História,160
Chapecó,MPCA - Mestrado Profissional em Computação Aplicada,15
Chapecó,MPROFIAP - Mestrado Profissional em Administração Pública em Rede Nacional,48
Chapecó,MPROFMAT - Mestrado Profissional em Matemática em Rede Nacional,196
Chapecó,PIA/PPGCB - Intercâmbio Acadêmico em Ciências Biomédicas,5
Chapecó,PIA/PPGH - Intercâmbio Acadêmico em História,3
Chapecó,PNPD/PPGCB - Pós Doutorado em Ciências Biomédicas,5
Chapecó,PNPD/PPGE - Pós Doutorado em Educação,6
Chapecó,PNPD/PPGEL - Pós Doutorado em Estudos Linguísticos,5
Chapecó,PNPD/PPGENF - Pós-doutorado em Enfermagem,3
Chapecó,PNPD/PPGGeo - Pós Doutorado em Geografia,4
Chapecó,PNPD/PPGH - Pós Doutorado em História,8
Chapecó,PRM055 - Residência Médica em Anestesiologia,30
Chapecó,PRM056 - Residência Médica em Ortopedia e Traumatologia,23
Chapecó,PRM057 - Residência Médica em Clínica Médica,33
Chapecó,PRM058 - Programa de Pré Requisito em Área Cirúrgica Básica,1
Chapecó,PRM059 - Residência Médica em Ginecologia e Obstetrícia,16
Chapecó,PRM060 - Residência Médica em Cirurgia Geral R3,4
Chapecó,PRM061 - Residência Médica em Pediatria,25
Chapecó,PRM071 - Residência Médica em Cirurgia Geral,32
Chapecó,RMSC001 - Residência Médica em Clínica Médica - Hospital Regional do Oeste,23
Chapecó,RMSC002 - Residência Médica em Cirurgia Geral - Hospital Regional do Oeste,19
Chapecó,RMSC003 - Residência Médica em Ortopedia e Traumatologia - Hospital Regional do Oeste,19
Chapecó,RMSC004 - Residência Médica em Anestesiologia - Hospital Regional do Oeste,18
Chapecó,RMSC005 - Residência Médica em Ginecologia e Obstetrícia - Hospital Regional do Oeste,11
Chapecó,RMSC006 - Residência Médica em Pediatria - Hospital Regional do Oeste,16
Chapecó,RMSC007 - Residência Médica em Cirurgia Geral R3 - Hospital Regional do Oeste,3
Chapecó,RMSC008 - Programa de Pré-Requisito em Área Cirúrgica Básica,1
Chapecó,SCO - Especialização em Saúde Coletiva,30
Erechim,CCDS - Especialização em Cooperativismo de Crédito e Desenvolvimento Sustentável,45
Erechim,DCTA - Doutorado em Ciência e Tecnologia Ambiental,25
Erechim,DPE - Doutorado em Educação,13
Erechim,EGPU - Especialização em Gestão Pública,28
Erechim,EIN - Especialização em Educação Integral,51
Erechim,EME - Especialização em Epistemologia e Metafísica,18
Erechim,EPGR - Especialização em Planejamento e Gestão de Recursos Hídricos,13
Erechim,EPPCI - Especialização em Processos e Produtos Criativos e suas Interfaces,53
Erechim,"GECDSE - Especialização em Gestão Escolar: Coordenação, Direção e Supervisão Escolar",45
Erechim,"GECDSE - Especialização em Gestão Escolar: Direção, Coordenação e Supervisão Educacional",79
Erechim,GESTÃO ESCOLAR - Especialização em Gestão Escolar,38
Erechim,HCI - Especialização em História da Ciência,32
Erechim,MCTA - Mestrado em Ciência e Tecnologia Ambiental,239
Erechim,MGEO - Mestrado em Geografia,100
Erechim,MICH - Mestrado Interdisciplinar em Ciências Humanas,216
Erechim,MPE - Mestrado em Educação,249
Erechim,PNPD/PPGCTA - Pós Doutorado em Ciência e Tecnologia Ambiental,6
Erechim,PNPD/PPGICH - Pós Doutorado Interdisciplinar em Ciências Humanas,8
Erechim,PNPD/PPGPE - Pós-doutorado em Educação,1
Erechim,PPE - Especialização em Processos Pedagógicos na Educação Básica,35
Erechim,TLC - Especialização em Teorias Linguísticas Contemporâneas,22
Laranjeiras do sul,APET - Aperfeiçoamento Escola da Terra,87
Laranjeiras do sul,EDC - Especialização em Educação do Campo,38
Laranjeiras do sul,EEGPN - Especialização em Economia Empresarial e Gestão de Pequenos Negócios,40
Laranjeiras do sul,ERB2 - Especialização em Realidade Brasileira,49
Laranjeiras do sul,ESPRBRAS - Especialização em Realidade Brasileira,45
Laranjeiras do sul,ETI - Especialização em Educação de Tempo Integral,35
Laranjeiras do sul,FPEC - ET - Especialização em Fundamentos e Práticas em Educação do Campo,51
Laranjeiras do sul,MADR - Mestrado em Agroecologia e Desenvolvimento Rural Sustentável,222
Laranjeiras do sul,MCTAL - Mestrado em Ciência e Tecnologia de Alimentos,122
Laranjeiras do sul,PLA - Especialização em Produção de Leite Agroecológico,55
Laranjeiras do sul,PNPD/PPGADR - Pós Doutorado em Agroecologia e Desenvolvimento Rural Sustentável,2
Passo Fundo,PCPME001 - Aperfeiçoamento em Clínica Médica,7
Passo Fundo,PCPME002 - Aperfeiçoamento em Cirurgia Geral,12
Passo Fundo,PCPME004 - Aperfeiçoamento em Psiquiatria,2
Passo Fundo,PCPME005 - Aperfeiçoamento em Radiologia e Diagnóstico por Imagem,2
